ano,bimestre,receitas_correntes,receitas_correntes_exc_intra,transferencias_correntes,transferencias_correntes_exc_intra,despesas_correntes,despesas_correntes_exc_intra,despesas_correntes_liq,pessoal_encargos,pessoal_encargos_exc_intra,pessoal_encargos_liq,juros_encargos,juros_encargos_exc_intra,juros_encargos_liq,outras_despesas_correntes,outras_despesas_correntes_exc_intra,outras_despesas_correntes_liq,data_ref,rotulo_periodo,poupanca_bruta,poupanca_liquida_proxy,dc_rc,dc_rc_liquidada,receitas_correntes_12m,despesas_correntes_12m,dc_rc_12m,status_constitucional,part_pessoal_encargos,part_juros_encargos,part_outras_despesas_correntes,yoy_receitas_correntes,yoy_despesas_correntes,yoy_poupanca_bruta
2015,1,3358910099.7599998,3184679534.62,827962022.55,827962022.55,4261812311.6200004,4043894287.07,2797234459.21,2292337865.5699997,2111925012.6,2121730297.32,633353129.6,633353129.6,146540697.22,1336121316.4499998,1298616144.87,528963464.67,2015-02-01,2015-B1,-902902211.8600006,-1730864234.4100003,1.2688080910306336,0.8327803889154007,,,,CRITICO,0.5378786530133788,0.14861122060047965,0.3135101263861414,,,
2015,2,6820171910.910001,6449629564.1,1668695788.25,1668695788.25,8178607386.62,7721511530.58,6049665807.95,4538452412.84,4187632210.77,4367041086.929999,760583505.32,760583505.32,284682603.3,2879571468.4599996,2773295814.49,1397942117.72,2015-04-01,2015-B2,-1358435475.709999,-3027131263.959999,1.199179066665014,0.8870254132850451,,,,CRITICO,0.5549175059148574,0.09299670094988248,0.3520857931352601,,,
2015,3,10311141653.35,9740962748.79,2537339002.19,2537339002.19,11388470354.76,10727431736.79,9425324571.03,6737285143.92,6222892719.1,6573588898.03,850290940.7,850290940.7,450702116.7,3800894270.14,3654248076.99,2401033556.2999997,2015-06-01,2015-B3,-1077328701.4099998,-3614667703.6000004,1.1044819999209288,0.9140912701909972,,,,CRITICO,0.591588240918065,0.07466243614925923,0.3337493229326758,,,
2015,4,13820175144.56,13048897953.08,3434287811.7,3434287811.7,14398444779.41,13533998328.14,12805132718.88,8933668302.279999,8253142046.11,8780956494.22,882160964.67,882160964.67,614094140.9,4582615512.46,4398695317.36,3410082083.7599998,2015-08-01,2015-B4,-578269634.8500004,-4012557446.549999,1.0418424244845856,0.9265535772837474,,,,CRITICO,0.6204606427393661,0.06126779511155982,0.31827156214907404,,,
2015,5,17375627276.92,16367083766.92,4356637819.17,4356637819.17,17354105079.25,16253694214.16,16219974281.09,11158910497.82,10309597892.91,11025788087.16,888485520.29,888485520.29,759993040.54,5306709061.14,5055610800.96,4434193153.389999,2015-10-01,2015-B5,21522197.66999817,-4335115621.500002,0.9987613570821362,0.9334899985242519,,,,CRITICO,0.6430127308127525,0.051197426558880675,0.3057898426283669,,,
2015,6,21456266477.760002,20161002237.63,5435486027.33,5435486027.33,20205273993.15,18883800284.34,19892817956.04,13473218240.36,12444457934.5,13460936317.67,957286003.26,957286003.26,957286002.78,5774769749.53,5482056346.58,5474595635.59,2015-12-01,2015-B6,1250992484.6100006,-4184493542.7199993,0.9416957052660262,0.9271332445772633,,,,ALERTA,0.6668169035929775,0.04737802633037985,0.2858050700766426,,,
2016,1,3665562917.6400003,3458469913.03,829717609.3,829717609.3,5244836240.0,4959454271.44,3155490390.79,2472961378.2400002,2273064935.65,2298442868.65,226168438.22,226168438.22,133075881.11,2545706423.54,2460220897.57,723971641.03,2016-02-01,2016-B1,-1579273322.3599997,-2408990931.66,1.4308405987958825,0.8608474228077361,21762919295.640003,21188297921.530003,0.973596310021463,CRITICO,0.4715040213038187,0.043122116281746864,0.4853738624144345,0.09129533353748043,0.23065866267731816,0.7491078232122812
2016,2,7297969508.679999,6861392739.32,1677950090.0,1677950090.0,9054987795.35,8529254496.99,6678801079.65,4858365896.21,4466011100.1,4706403618.049999,691075698.71,691075698.71,243032851.12,3505546200.43,3372167698.18,1729364610.48,2016-04-01,2016-B2,-1757018286.670001,-3434968376.670001,1.2407544022457553,0.9151588084475307,21934064075.530003,21081654401.88,0.961137631826244,CRITICO,0.5365403030918399,0.07631989289537061,0.38713980401278947,0.0700565328867564,0.10715521204303524,0.29341313451172857
2016,3,11061167091.710001,10371456722.85,2582041764.43,2582041764.43,12318713400.599998,11542334403.88,10303048326.33,7262743112.95,6662248948.66,7137776900.21,736056806.96,736056806.96,354092505.53,4319913480.690001,4144028648.26,2811178920.59,2016-06-01,2016-B3,-1257546308.8899975,-3839588073.319998,1.11369020090407,0.9314612319754045,22206291916.120003,21135517038.989998,0.9517805637620792,CRITICO,0.5895699393896329,0.05975111060901453,0.35067895000135274,0.07273932058884314,0.08168287898744775,0.16728191427939332
2016,4,14613956240.449999,13678664218.47,3254069470.93,3254069470.93,15575220823.34,14549175514.27,13839271780.449999,9697997925.25,8889157364.83,9564319188.26,754429771.12,754429771.12,444510778.31,5122793126.969999,4905588378.32,3830441813.88,2016-08-01,2016-B4,-961264582.8900013,-4215334053.8200016,1.0657771630812274,0.9469900930826829,22250047573.65,21382050037.080006,0.9609889581720295,CRITICO,0.6226555652242964,0.04843782182461653,0.328906612951087,0.05743639914740539,0.08172938549674535,0.6623120512619471
2016,5,18467192966.190002,17283473654.04,3975409090.11,3975409090.11,18547831668.760002,17265253289.88,17365105949.06,12122381285.72,11104110752.15,12028169812.31,716307675.51,716307675.51,512090345.29,5709142707.530001,5444834862.22,4824845791.46,2016-10-01,2016-B5,-80638702.5699997,-4056047792.6800003,1.0043665922979002,0.940321898452693,22547832167.030006,21399000582.660004,0.9490491335992002,ALERTA,0.6535740404705985,0.0386194833068532,0.30780647622254814,0.06282165655797245,0.06878641013516273,-4.74676897807744
2016,6,22907013587.32,21351616965.25,5016919926.76,5016919926.76,21698671076.649998,20133180401.26,21339925794.99,14698007036.39,13447580190.3,14693819964.78,671254327.44,671254327.44,671254327.44,6329409712.820001,6014345883.52,5974851502.77,2016-12-01,2016-B6,1208342510.670002,-3808577416.09,0.9472501072187397,0.9315891708730881,22907013587.32,21698671076.65,0.9472501072187399,ALERTA,0.6773689957541486,0.030935273642741134,0.2916957306031104,0.06761414484965211,0.07391125129044473,-0.034092909801368476
2017,1,3822186169.44,3561715046.09,784444098.7,784444098.7,5021686997.06,5021686997.06,,2380642953.51,2380642953.51,,102195534.95,102195534.95,,2538848508.6,2538848508.6,,2017-02-01,2017-B1,-1199500827.6200004,-1983944926.3200006,1.3138258510824299,,23063636839.12,21475521833.71,0.9311420390249869,ALERTA,0.4740723495717222,0.020350837280346517,0.5055768131479312,0.042728294485486096,-0.042546465271525724,-0.2404729373712735
2017,2,7761307039.67,7230009914.69,1503549071.26,1503549071.26,9114438969.41,8497898529.95,6850995832.36,5117441964.42,4641365576.41,4963084701.26,290636705.64,290636705.64,184036598.57,3706360299.35,3565896247.9,1703874532.53,2017-04-01,2017-B2,-1353131929.7399998,-2856681001.0,1.1743433062013655,0.8827116099572958,23370351118.309998,21758122250.71,0.9310139218945297,ALERTA,0.5614653827399828,0.03188750362095119,0.406647113639066,0.06348855396544484,0.006565571970238215,-0.22987032064160762
2017,3,11606383693.5,10798220927.46,2246551016.67,2246551016.67,12803338689.0,11914773597.32,10732099489.039999,7671388691.429999,6966964006.4,7530822641.56,465355921.09,465355921.09,356937105.36,4666594076.48,4482453669.83,2844339742.12,2017-06-01,2017-B3,-1196954995.5,-3443506012.17,1.1031290216754026,0.9246721263446053,23452230189.11,22183296365.049995,0.9458928292180403,ALERTA,0.5991709567146638,0.03634645090579467,0.36448259237954145,0.049291055570313436,0.03934057662031476,-0.04818217266565694
2017,4,15452830695.28,14391575450.1,2970113762.0,2970113762.0,16039603372.62,14908124457.28,14487716429.95,10254163871.72,9318653420.57,10125175609.01,745220291.26,549251827.07,655544562.51,5040219209.64,5040219209.64,3706996258.43,2017-08-01,2017-B4,-586772677.3400002,-3556886439.34,1.0379718569957042,0.9375445001397194,23745888042.15,22163053625.929996,0.9333427996708145,ALERTA,0.6393028327136886,0.0464612667749696,0.31423590051134176,0.0574022832029617,0.0298154712891201,-0.389582548047393
2017,5,19388431034.559998,18077522251.12,3714640087.94,3714640087.94,19461292448.3,18077704990.68,18258746426.96,12862445815.67,11684424666.27,12754019200.79,654148854.11,654148854.11,597711928.21,5944697778.52,5739131470.3,4907015297.96,2017-10-01,2017-B5,-72861413.74000168,-3787501501.680002,1.0037579840065514,0.9417340884578886,23828251655.689995,22612131856.189995,0.948963112482086,ALERTA,0.6609245429017523,0.03361281661265729,0.3054626404855905,0.04988511627384895,0.049248925472972216,-0.09644610568041834
2017,6,23730662183.75,22090248401.41,4597799921.98,4597799921.98,23075490761.309998,21439915102.23,22629677213.13,15583721983.8,14161453989.47,15580333276.25,770880832.77,770880832.77,770880712.64,6720887944.74,6507580279.99,6278463224.24,2017-12-01,2017-B6,655171422.4400024,-3942628499.539997,0.9723913552278097,0.9536049621331714,23730662183.75,23075490761.309994,0.9723913552278096,CRITICO,0.6753365354174297,0.033406909553686,0.2912565550288844,0.03595617531243467,0.06345179756845098,-0.4577932857160485
2018,1,4096553748.53,3831615736.25,861450205.97,861450205.97,4856207132.690001,4546804565.68,3422341237.03,2640677054.1400003,2391544623.76,2588137101.41,155711657.95,155711657.95,155559250.27,2059818420.6000001,1999548283.97,678644885.35,2018-02-01,2018-B1,-759653384.1600003,-1621103590.13,1.1854371822736594,0.8354195860991857,24005029762.84,22910010896.94,0.9543837738707952,CRITICO,0.5437735627798992,0.032064459710092016,0.4241619775100088,0.07178289254555037,-0.03295304236741192,-0.36669207167845563
